,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,isOpen,vwap
15,002230.XSHE,002230,科大讯飞,XSHE,2008-06-02,36.69,36.69,36.48,36.56,35.21,36.26,487290,17483472.0,783,0.0227,1.0,777414400.0,3885839160.0,1,35.879
16,002230.XSHE,002230,科大讯飞,XSHE,2008-06-03,36.26,36.26,36.1,39.75,36.02,38.68,1597372,61035620.0,2191,0.0745,1.0,829299200.0,4145180880.0,1,38.21
17,002230.XSHE,002230,科大讯飞,XSHE,2008-06-04,38.68,38.68,38.45,38.75,37.03,38.26,881802,33519118.0,1295,0.0411,1.0,820294400.0,4100171160.0,1,38.012
18,002230.XSHE,002230,科大讯飞,XSHE,2008-06-05,38.26,38.26,37.7,38.88,37.05,38.5,567628,21575724.0,1163,0.0265,1.0,825440000.0,4125891000.0,1,38.01
19,002230.XSHE,002230,科大讯飞,XSHE,2008-06-06,38.5,38.5,39.19,39.75,38.25,38.8,634327,24751934.0,1170,0.0296,1.0,831872000.0,4158040800.0,1,39.021
20,002230.XSHE,002230,科大讯飞,XSHE,2008-06-10,38.8,38.8,37.66,38.49,35.0,36.88,1176500,42927016.0,1687,0.0549,1.0,790707200.0,3952282080.0,1,36.487
21,002230.XSHE,002230,科大讯飞,XSHE,2008-06-11,36.88,36.88,36.01,36.96,34.5,35.9,1232929,44124564.0,1227,0.0575,1.0,769696000.0,3847259400.0,1,35.788
22,002230.XSHE,002230,科大讯飞,XSHE,2008-06-12,35.9,35.9,35.43,35.9,34.03,35.6,700601,24486150.0,1103,0.0327,1.0,763264000.0,3815109600.0,1,34.95
23,002230.XSHE,002230,科大讯飞,XSHE,2008-06-13,35.6,35.6,35.41,35.45,32.31,32.99,1469408,49327860.0,1403,0.0685,1.0,707305600.0,3535406340.0,1,33.57
24,002230.XSHE,002230,科大讯飞,XSHE,2008-06-16,32.99,32.99,32.61,32.99,30.01,32.2,1820979,56927760.0,1563,0.0849,1.0,690368000.0,3450745200.0,1,31.262
25,002230.XSHE,002230,科大讯飞,XSHE,2008-06-17,32.2,32.2,31.61,32.19,30.28,30.3,345980,10744427.0,605,0.0161,1.0,649632000.0,3247129800.0,1,31.055
26,002230.XSHE,002230,科大讯飞,XSHE,2008-06-18,30.3,30.3,30.02,31.97,28.6,31.89,631943,19211650.0,1019,0.0295,1.0,683721600.0,3417523740.0,1,30.401
27,002230.XSHE,002230,科大讯飞,XSHE,2008-06-19,31.89,31.89,31.0,31.45,28.72,29.58,531042,15755302.0,878,0.0248,1.0,634195200.0,3169970280.0,1,29.669
28,002230.XSHE,002230,科大讯飞,XSHE,2008-06-20,29.58,29.58,29.25,31.4,27.71,30.34,487879,14484568.0,838,0.0228,1.0,650489600.0,3251416440.0,1,29.689
29,002230.XSHE,002230,科大讯飞,XSHE,2008-06-23,30.34,30.34,29.5,30.19,29.0,29.85,348145,10318037.0,632,0.0162,1.0,639984000.0,3198905100.0,1,29.637
30,002230.XSHE,002230,科大讯飞,XSHE,2008-06-24,29.85,29.85,29.7,31.49,29.3,31.4,558432,17197718.0,673,0.026,1.0,673216000.0,3365012400.0,1,30.796
31,002230.XSHE,002230,科大讯飞,XSHE,2008-06-25,31.4,31.4,31.01,32.18,30.52,31.8,471032,14873548.0,731,0.022,1.0,681792000.0,3407878800.0,1,31.577
32,002230.XSHE,002230,科大讯飞,XSHE,2008-06-26,31.8,31.8,31.8,31.88,30.3,31.2,641741,19945632.0,946,0.0299,1.0,668928000.0,3343579200.0,1,31.081
33,002230.XSHE,002230,科大讯飞,XSHE,2008-06-27,31.2,31.2,30.0,30.83,29.4,29.42,381986,11565177.0,578,0.0178,1.0,630764800.0,3152823720.0,1,30.276
34,002230.XSHE,002230,科大讯飞,XSHE,2008-06-30,29.42,29.42,29.55,30.18,28.56,30.09,217617,6450683.0,286,0.0081,1.0,806412000.0,3224624940.0,1,29.642
35,002230.XSHE,002230,科大讯飞,XSHE,2008-07-01,30.09,30.09,30.09,30.1,29.0,30.0,144180,4255158.0,322,0.0054,1.0,804000000.0,3214980000.0,1,29.513
36,002230.XSHE,002230,科大讯飞,XSHE,2008-07-02,30.0,30.0,30.0,30.98,29.61,30.56,197415,6020739.0,288,0.0074,1.0,819008000.0,3274992960.0,1,30.498
37,002230.XSHE,002230,科大讯飞,XSHE,2008-07-03,30.56,30.56,29.68,32.0,29.33,31.6,511395,16040704.0,567,0.0191,1.0,846880000.0,3386445600.0,1,31.367
38,002230.XSHE,002230,科大讯飞,XSHE,2008-07-04,31.6,31.6,31.2,31.3,30.2,30.58,215576,6619181.0,377,0.008,1.0,819544000.0,3277136280.0,1,30.705
39,002230.XSHE,002230,科大讯飞,XSHE,2008-07-07,30.58,30.58,31.48,31.96,30.81,31.21,425147,13358120.0,506,0.0159,1.0,836428000.0,3344650860.0,1,31.42
40,002230.XSHE,002230,科大讯飞,XSHE,2008-07-08,31.21,31.21,31.3,32.0,31.2,32.0,780133,24559414.0,623,0.0291,1.0,857600000.0,3429312000.0,1,31.481
41,002230.XSHE,002230,科大讯飞,XSHE,2008-07-09,32.0,32.0,32.45,32.5,30.9,31.71,697438,21955924.0,1064,0.026,1.0,849828000.0,3398233860.0,1,31.481
42,002230.XSHE,002230,科大讯飞,XSHE,2008-07-10,31.71,31.71,31.2,34.33,31.12,33.8,1026309,33313270.0,1336,0.0383,1.0,905840000.0,3622210800.0,1,32.459
43,002230.XSHE,002230,科大讯飞,XSHE,2008-07-11,33.8,33.8,32.68,34.75,32.68,34.7,809875,27425338.0,1008,0.0302,1.0,929960000.0,3718660200.0,1,33.864
44,002230.XSHE,002230,科大讯飞,XSHE,2008-07-14,34.7,34.7,34.6,35.46,34.12,35.0,697997,24377452.0,689,0.026,1.0,938000000.0,3750810000.0,1,34.925
45,002230.XSHE,002230,科大讯飞,XSHE,2008-07-15,35.0,35.0,34.9,35.05,32.8,33.8,367863,12426969.0,679,0.0137,1.0,905840000.0,3622210800.0,1,33.782
46,002230.XSHE,002230,科大讯飞,XSHE,2008-07-16,33.8,33.8,33.2,33.7,31.35,32.2,246096,7952947.0,454,0.0092,1.0,862960000.0,3450745200.0,1,32.316
47,002230.XSHE,002230,科大讯飞,XSHE,2008-07-17,32.2,32.2,32.69,32.78,31.36,31.36,165303,5300708.0,350,0.0062,1.0,840448000.0,3360725760.0,1,32.067
48,002230.XSHE,002230,科大讯飞,XSHE,2008-07-18,31.36,31.36,31.39,32.32,31.01,32.05,141839,4488331.0,308,0.0053,1.0,858940000.0,3434670300.0,1,31.644
49,002230.XSHE,002230,科大讯飞,XSHE,2008-07-21,32.05,32.05,32.05,33.45,31.8,33.1,314346,10338411.0,420,0.0117,1.0,887080000.0,3547194600.0,1,32.889
50,002230.XSHE,002230,科大讯飞,XSHE,2008-07-22,33.1,33.1,32.8,33.44,32.51,32.62,129874,4257683.0,228,0.0048,1.0,874216000.0,3495754920.0,1,32.783
51,002230.XSHE,002230,科大讯飞,XSHE,2008-07-23,32.62,32.62,32.38,33.23,32.38,32.57,162320,5331236.0,217,0.0061,1.0,872876000.0,3490396620.0,1,32.844
52,002230.XSHE,002230,科大讯飞,XSHE,2008-07-24,32.57,32.57,32.64,33.18,32.46,32.71,462466,15259795.0,430,0.0173,1.0,876628000.0,3505399860.0,1,32.997
53,002230.XSHE,002230,科大讯飞,XSHE,2008-07-25,32.71,32.71,32.8,34.35,32.71,33.5,311721,10435192.0,363,0.0116,1.0,897800000.0,3590061000.0,1,33.476
54,002230.XSHE,002230,科大讯飞,XSHE,2008-07-28,33.5,33.5,33.8,34.33,33.02,34.0,291691,9865125.0,362,0.0109,1.0,911200000.0,3643644000.0,1,33.82
55,002230.XSHE,002230,科大讯飞,XSHE,2008-07-29,34.0,34.0,34.0,34.0,33.33,33.79,137303,4618374.0,254,0.0051,1.0,905572000.0,3621139140.0,1,33.636
56,002230.XSHE,002230,科大讯飞,XSHE,2008-07-30,33.79,33.79,33.5,33.8,31.81,31.99,430802,14081071.0,608,0.0161,1.0,857332000.0,3428240340.0,1,32.686
57,002230.XSHE,002230,科大讯飞,XSHE,2008-07-31,31.99,31.99,31.6,32.25,30.5,30.59,375813,11592899.0,573,0.014,1.0,819812000.0,3278207940.0,1,30.848
58,002230.XSHE,002230,科大讯飞,XSHE,2008-08-01,30.59,30.59,30.0,31.69,30.0,31.08,263629,8053343.0,405,0.0098,1.0,832944000.0,3330719280.0,1,30.548
59,002230.XSHE,002230,科大讯飞,XSHE,2008-08-04,31.08,31.08,30.54,31.35,30.4,30.44,89760,2760873.0,191,0.0033,1.0,815792000.0,3262133040.0,1,30.758
60,002230.XSHE,002230,科大讯飞,XSHE,2008-08-05,30.44,30.44,30.78,30.78,30.15,30.32,173037,5248124.0,219,0.0065,1.0,812576000.0,3249273120.0,1,30.329
61,002230.XSHE,002230,科大讯飞,XSHE,2008-08-06,30.32,30.32,30.2,31.0,29.2,30.15,272672,8193411.0,315,0.0102,1.0,808020000.0,3231054900.0,1,30.049
62,002230.XSHE,002230,科大讯飞,XSHE,2008-08-07,30.15,30.15,30.48,30.48,29.31,30.1,66600,1979940.0,171,0.0025,1.0,806680000.0,3225696600.0,1,29.729
63,002230.XSHE,002230,科大讯飞,XSHE,2008-08-08,30.1,30.1,30.1,30.1,28.0,29.97,286285,8223369.0,358,0.0107,1.0,803196000.0,3211765020.0,1,28.724
64,002230.XSHE,002230,科大讯飞,XSHE,2008-08-11,29.97,29.97,28.71,29.54,28.5,28.8,200318,5784082.0,249,0.0075,1.0,771840000.0,3086380800.0,1,28.874
65,002230.XSHE,002230,科大讯飞,XSHE,2008-08-12,28.8,28.8,25.92,26.35,25.92,25.92,2383685,61869924.0,1219,0.0889,1.0,694656000.0,2777742720.0,1,25.956
66,002230.XSHE,002230,科大讯飞,XSHE,2008-08-13,25.92,25.92,24.65,25.5,23.6,25.05,1974039,47738472.0,1973,0.0737,1.0,671340000.0,2684508300.0,1,24.183
67,002230.XSHE,002230,科大讯飞,XSHE,2008-08-14,25.05,25.05,24.58,25.4,23.9,25.29,768288,18806980.0,833,0.0287,1.0,677772000.0,2710228140.0,1,24.479
68,002230.XSHE,002230,科大讯飞,XSHE,2008-08-15,25.29,25.29,24.95,25.8,24.65,24.82,778041,19799124.0,812,0.029,1.0,665176000.0,2659860120.0,1,25.447
69,002230.XSHE,002230,科大讯飞,XSHE,2008-08-18,24.82,24.82,0.0,0.0,0.0,24.82,0,0.0,0,0.0,1.0,665176000.0,2659860120.0,0,24.82
70,002230.XSHE,002230,科大讯飞,XSHE,2008-08-19,24.82,24.82,23.01,24.4,22.88,24.34,436710,10225151.0,654,0.0163,1.0,652312000.0,2608420440.0,1,23.414
71,002230.XSHE,002230,科大讯飞,XSHE,2008-08-20,24.34,24.34,24.01,25.85,23.2,25.3,880249,22121816.0,834,0.0328,1.0,678040000.0,2711299800.0,1,25.131
72,002230.XSHE,002230,科大讯飞,XSHE,2008-08-21,25.3,25.3,24.9,25.1,23.62,24.0,315757,7683250.0,486,0.0118,1.0,643200000.0,2571984000.0,1,24.333
73,002230.XSHE,002230,科大讯飞,XSHE,2008-08-22,24.0,24.0,23.3,24.3,23.3,24.0,159313,3807710.0,253,0.0059,1.0,643200000.0,2571984000.0,1,23.901
74,002230.XSHE,002230,科大讯飞,XSHE,2008-08-25,24.0,24.0,24.5,24.5,23.5,23.71,129151,3086039.0,235,0.0048,1.0,635428000.0,2540905860.0,1,23.895
75,002230.XSHE,002230,科大讯飞,XSHE,2008-08-26,23.71,23.71,23.5,23.86,21.85,21.88,337085,7637511.0,432,0.0126,1.0,586384000.0,2344792080.0,1,22.658
76,002230.XSHE,002230,科大讯飞,XSHE,2008-08-27,21.88,21.88,21.41,22.22,20.55,21.65,374393,7975224.0,371,0.014,1.0,580220000.0,2320143900.0,1,21.302
77,002230.XSHE,002230,科大讯飞,XSHE,2008-08-28,21.65,21.65,21.77,21.77,20.85,21.02,137366,2904919.0,367,0.0051,1.0,563336000.0,2252629320.0,1,21.147
78,002230.XSHE,002230,科大讯飞,XSHE,2008-08-29,21.02,21.02,21.18,22.0,21.0,21.51,184474,3969521.0,299,0.0069,1.0,576468000.0,2305140660.0,1,21.518
79,002230.XSHE,002230,科大讯飞,XSHE,2008-09-01,21.51,21.51,21.11,21.88,20.0,21.0,195562,4031284.0,296,0.0073,1.0,562800000.0,2250486000.0,1,20.614
80,002230.XSHE,002230,科大讯飞,XSHE,2008-09-02,21.0,21.0,20.8,21.37,20.32,20.68,90322,1869314.0,199,0.0034,1.0,554224000.0,2216192880.0,1,20.696
81,002230.XSHE,002230,科大讯飞,XSHE,2008-09-03,20.68,20.68,20.9,20.97,20.31,20.79,82514,1698037.0,150,0.0031,1.0,557172000.0,2227981140.0,1,20.579
82,002230.XSHE,002230,科大讯飞,XSHE,2008-09-04,20.79,20.79,20.51,21.5,20.5,21.37,96470,2020515.0,183,0.0036,1.0,572716000.0,2290137420.0,1,20.944
83,002230.XSHE,002230,科大讯飞,XSHE,2008-09-05,21.37,21.37,20.86,21.1,19.99,20.0,247217,5061666.0,225,0.0092,1.0,536000000.0,2143320000.0,1,20.475
84,002230.XSHE,002230,科大讯飞,XSHE,2008-09-08,20.0,20.0,19.95,19.95,18.9,19.0,292670,5622032.0,281,0.0109,1.0,509200000.0,2036154000.0,1,19.209
85,002230.XSHE,002230,科大讯飞,XSHE,2008-09-09,19.0,19.0,19.1,19.43,18.91,19.0,56132,1070463.0,111,0.0021,1.0,509200000.0,2036154000.0,1,19.07
86,002230.XSHE,002230,科大讯飞,XSHE,2008-09-10,19.0,19.0,18.66,19.5,18.66,18.86,68753,1310892.0,145,0.0026,1.0,505448000.0,2021150760.0,1,19.067
87,002230.XSHE,002230,科大讯飞,XSHE,2008-09-11,18.86,18.86,18.86,19.0,18.0,18.28,174857,3206480.0,239,0.0065,1.0,489904000.0,1958994480.0,1,18.338
88,002230.XSHE,002230,科大讯飞,XSHE,2008-09-12,18.28,18.28,18.2,18.55,17.89,18.26,127257,2315930.0,178,0.0047,1.0,489368000.0,1956851160.0,1,18.199
89,002230.XSHE,002230,科大讯飞,XSHE,2008-09-16,18.26,18.26,18.0,18.0,17.29,17.8,210794,3710856.0,257,0.0079,1.0,477040000.0,1907554800.0,1,17.604
90,002230.XSHE,002230,科大讯飞,XSHE,2008-09-17,17.8,17.8,17.79,17.9,17.5,17.7,105021,1856578.0,151,0.0039,1.0,474360000.0,1896838200.0,1,17.678
91,002230.XSHE,002230,科大讯飞,XSHE,2008-09-18,17.7,17.7,17.5,17.99,17.02,17.88,187570,3298942.0,282,0.007,1.0,479184000.0,1916128080.0,1,17.588
92,002230.XSHE,002230,科大讯飞,XSHE,2008-09-19,17.88,17.88,19.1,19.67,18.7,19.67,3851598,75439280.0,2160,0.1437,1.0,527156000.0,2107955220.0,1,19.586
93,002230.XSHE,002230,科大讯飞,XSHE,2008-09-22,19.67,19.67,19.59,21.2,18.5,18.99,2399767,47365344.0,3270,0.0895,1.0,508932000.0,2035082340.0,1,19.737
94,002230.XSHE,002230,科大讯飞,XSHE,2008-09-23,18.99,18.99,17.98,17.99,17.09,17.09,583300,10047567.0,780,0.0218,1.0,458012000.0,1831466940.0,1,17.225
95,002230.XSHE,002230,科大讯飞,XSHE,2008-09-24,17.09,17.09,15.4,15.93,15.38,15.66,2176917,33718096.0,2171,0.0812,1.0,419688000.0,1678219560.0,1,15.489
96,002230.XSHE,002230,科大讯飞,XSHE,2008-09-25,15.66,15.66,15.66,16.43,15.66,16.34,978467,15658483.0,1518,0.0365,1.0,437912000.0,1751092440.0,1,16.003
97,002230.XSHE,002230,科大讯飞,XSHE,2008-09-26,16.34,16.34,16.28,16.28,15.39,16.02,873510,13802538.0,1242,0.0326,1.0,429336000.0,1716799320.0,1,15.801
98,002230.XSHE,002230,科大讯飞,XSHE,2008-10-06,16.02,16.02,15.68,15.68,14.96,15.25,483790,7348757.0,724,0.0181,1.0,408700000.0,1634281500.0,1,15.19
99,002230.XSHE,002230,科大讯飞,XSHE,2008-10-07,15.25,15.25,14.65,15.24,14.5,15.12,1247827,18442808.0,885,0.0466,1.0,405216000.0,1620349920.0,1,14.78
100,002230.XSHE,002230,科大讯飞,XSHE,2008-10-08,15.12,15.12,14.66,15.28,14.66,15.0,417512,6277420.0,510,0.0156,1.0,402000000.0,1607490000.0,1,15.035
101,002230.XSHE,002230,科大讯飞,XSHE,2008-10-09,15.0,15.0,15.3,15.37,14.86,15.04,352674,5322141.0,442,0.0132,1.0,403072000.0,1611776640.0,1,15.091
102,002230.XSHE,002230,科大讯飞,XSHE,2008-10-10,15.04,15.04,14.72,14.8,13.6,13.93,723346,10314357.0,671,0.027,1.0,373324000.0,1492822380.0,1,14.259
103,002230.XSHE,002230,科大讯飞,XSHE,2008-10-13,13.93,13.93,13.88,13.91,12.88,13.76,490303,6512350.0,535,0.0183,1.0,368768000.0,1474604160.0,1,13.282
104,002230.XSHE,002230,科大讯飞,XSHE,2008-10-14,13.76,13.76,14.14,14.5,14.05,14.05,524220,7485077.0,674,0.0196,1.0,376540000.0,1505682300.0,1,14.279
105,002230.XSHE,002230,科大讯飞,XSHE,2008-10-15,14.05,14.05,13.9,14.6,13.5,14.5,338987,4781216.0,429,0.0126,1.0,388600000.0,1553907000.0,1,14.104
106,002230.XSHE,002230,科大讯飞,XSHE,2008-10-16,14.5,14.5,14.08,15.2,13.8,14.21,675671,9888114.0,728,0.0252,1.0,380828000.0,1522828860.0,1,14.635
107,002230.XSHE,002230,科大讯飞,XSHE,2008-10-17,14.21,14.21,14.31,15.3,14.31,15.2,507148,7611057.0,827,0.0189,1.0,407360000.0,1628923200.0,1,15.008
108,002230.XSHE,002230,科大讯飞,XSHE,2008-10-20,15.2,15.2,15.2,16.68,15.05,16.37,693538,10981380.0,990,0.0259,1.0,438716000.0,1754307420.0,1,15.834
109,002230.XSHE,002230,科大讯飞,XSHE,2008-10-21,16.37,16.37,16.24,16.29,15.61,16.0,463741,7419065.0,594,0.0173,1.0,428800000.0,1714656000.0,1,15.998
110,002230.XSHE,002230,科大讯飞,XSHE,2008-10-22,16.0,16.0,15.61,16.3,15.2,15.2,249741,3914703.0,384,0.0093,1.0,407360000.0,1628923200.0,1,15.675
111,002230.XSHE,002230,科大讯飞,XSHE,2008-10-23,15.2,15.2,15.01,16.72,15.01,16.7,1590224,26277350.0,1345,0.0593,1.0,447560000.0,1789672200.0,1,16.524
112,002230.XSHE,002230,科大讯飞,XSHE,2008-10-24,16.7,16.7,16.67,17.89,16.45,16.7,1024913,17666688.0,1227,0.0382,1.0,447560000.0,1789672200.0,1,17.237
113,002230.XSHE,002230,科大讯飞,XSHE,2008-10-27,16.7,16.7,16.68,16.7,16.03,16.1,697180,11342435.0,646,0.026,1.0,431480000.0,1725372600.0,1,16.269
114,002230.XSHE,002230,科大讯飞,XSHE,2008-10-28,16.1,16.1,16.0,17.4,15.7,17.25,442009,7401614.0,556,0.0165,1.0,462300000.0,1848613500.0,1,16.745
115,002230.XSHE,002230,科大讯飞,XSHE,2008-10-29,17.25,17.25,17.39,18.38,17.05,17.64,765838,13776629.0,901,0.0286,1.0,472752000.0,1890408240.0,1,17.989
116,002230.XSHE,002230,科大讯飞,XSHE,2008-10-30,17.64,17.64,17.64,18.5,17.64,18.3,799921,14596682.0,711,0.0298,1.0,490440000.0,1961137800.0,1,18.248
117,002230.XSHE,002230,科大讯飞,XSHE,2008-10-31,18.3,18.3,18.0,18.41,17.57,18.12,326615,5816280.0,520,0.0122,1.0,485616000.0,1941847920.0,1,17.808
118,002230.XSHE,002230,科大讯飞,XSHE,2008-11-03,18.12,18.12,18.0,18.16,17.21,17.49,235162,4148957.0,447,0.0088,1.0,468732000.0,1874333340.0,1,17.643
119,002230.XSHE,002230,科大讯飞,XSHE,2008-11-04,17.49,17.49,17.33,17.75,16.4,16.9,317331,5420892.0,620,0.0118,1.0,452920000.0,1811105400.0,1,17.083
120,002230.XSHE,002230,科大讯飞,XSHE,2008-11-05,16.9,16.9,16.8,18.5,16.62,17.93,542462,9610352.0,716,0.0202,1.0,480524000.0,1921486380.0,1,17.716
121,002230.XSHE,002230,科大讯飞,XSHE,2008-11-06,17.93,17.93,17.51,18.0,17.12,18.0,268326,4742391.0,458,0.01,1.0,482400000.0,1928988000.0,1,17.674
122,002230.XSHE,002230,科大讯飞,XSHE,2008-11-07,18.0,18.0,17.8,19.09,17.68,18.39,506965,9384579.0,783,0.0189,1.0,492852000.0,1970782740.0,1,18.511
123,002230.XSHE,002230,科大讯飞,XSHE,2008-11-10,18.39,18.39,18.39,19.49,18.39,19.3,681891,12881949.0,923,0.0254,1.0,517240000.0,2068303800.0,1,18.892
124,002230.XSHE,002230,科大讯飞,XSHE,2008-11-11,19.3,19.3,18.91,19.17,18.16,18.6,770178,14291051.0,913,0.0287,1.0,498480000.0,1993287600.0,1,18.556
125,002230.XSHE,002230,科大讯飞,XSHE,2008-11-12,18.6,18.6,18.4,18.95,18.2,18.63,259982,4831657.0,480,0.0097,1.0,499284000.0,1996502580.0,1,18.585
126,002230.XSHE,002230,科大讯飞,XSHE,2008-11-13,18.63,18.63,18.8,19.9,18.22,19.5,855593,16551824.0,1043,0.0319,1.0,522600000.0,2089737000.0,1,19.345
127,002230.XSHE,002230,科大讯飞,XSHE,2008-11-14,19.5,19.5,19.61,19.95,19.05,19.6,730841,14281640.0,940,0.0273,1.0,525280000.0,2100453600.0,1,19.541
128,002230.XSHE,002230,科大讯飞,XSHE,2008-11-17,19.6,19.6,19.48,20.88,19.01,20.85,827093,16687289.0,1029,0.0309,1.0,558780000.0,2234411100.0,1,20.176
129,002230.XSHE,002230,科大讯飞,XSHE,2008-11-18,20.85,20.85,20.5,21.15,19.33,19.66,578506,11657988.0,867,0.0216,1.0,526888000.0,2106883560.0,1,20.152
130,002230.XSHE,002230,科大讯飞,XSHE,2008-11-19,19.66,19.66,19.61,21.63,19.6,21.63,1219927,26021694.0,1188,0.0455,1.0,579684000.0,2318000580.0,1,21.331
131,002230.XSHE,002230,科大讯飞,XSHE,2008-11-20,21.63,21.63,21.55,22.7,20.8,20.91,852227,18564912.0,1247,0.0318,1.0,560388000.0,2240841060.0,1,21.784
132,002230.XSHE,002230,科大讯飞,XSHE,2008-11-21,20.91,20.91,20.31,21.33,19.8,20.36,496407,10119402.0,884,0.0185,1.0,545648000.0,2181899760.0,1,20.385
133,002230.XSHE,002230,科大讯飞,XSHE,2008-11-24,20.36,20.36,20.4,20.88,19.02,19.22,451043,8985079.0,776,0.0168,1.0,515096000.0,2059730520.0,1,19.921
134,002230.XSHE,002230,科大讯飞,XSHE,2008-11-25,19.22,19.22,19.66,19.69,18.31,18.66,629194,11827936.0,839,0.0235,1.0,500088000.0,1999717560.0,1,18.799
135,002230.XSHE,002230,科大讯飞,XSHE,2008-11-26,18.66,18.66,18.51,18.87,18.15,18.47,256315,4750730.0,561,0.0096,1.0,494996000.0,1979356020.0,1,18.535
136,002230.XSHE,002230,科大讯飞,XSHE,2008-11-27,18.47,18.47,19.3,19.97,18.81,18.92,763677,14630221.0,911,0.0285,1.0,507056000.0,2027580720.0,1,19.158
137,002230.XSHE,002230,科大讯飞,XSHE,2008-11-28,18.92,18.92,19.1,19.1,18.13,18.25,236004,4396815.0,471,0.0088,1.0,489100000.0,1955779500.0,1,18.63
138,002230.XSHE,002230,科大讯飞,XSHE,2008-12-01,18.25,18.25,18.15,19.57,18.15,19.4,653002,12523234.0,690,0.0244,1.0,519920000.0,2079020400.0,1,19.178
139,002230.XSHE,002230,科大讯飞,XSHE,2008-12-02,19.4,19.4,19.18,20.4,19.0,19.96,448173,8891251.0,776,0.0167,1.0,534928000.0,2139033360.0,1,19.839
140,002230.XSHE,002230,科大讯飞,XSHE,2008-12-03,19.96,19.96,19.93,20.8,19.93,20.72,540653,11113601.0,766,0.0202,1.0,555296000.0,2220479520.0,1,20.556
141,002230.XSHE,002230,科大讯飞,XSHE,2008-12-04,20.72,20.72,20.98,21.48,20.1,20.35,1449009,29951008.0,1444,0.0541,1.0,545380000.0,2180828100.0,1,20.67
142,002230.XSHE,002230,科大讯飞,XSHE,2008-12-05,20.35,20.35,20.15,21.11,20.11,20.86,418344,8628885.0,717,0.0156,1.0,559048000.0,2235482760.0,1,20.626
143,002230.XSHE,002230,科大讯飞,XSHE,2008-12-08,20.86,20.86,21.1,22.25,21.1,21.4,809974,17471678.0,1360,0.0302,1.0,573520000.0,2293352400.0,1,21.571
